,gender,familyname,givenname,picture,email,occupation,birth_date,birth_country,company,street,city,zip,region,region_abbr,country,phone_code,phone,picture_url,picture_thumb,description,picture_url_local,picture_thumb_local,birth_continent,continent
<Simeon_Edmunds>,m,Edmunds,Simeon,Simeon Edmunds psychical researcher.png,edmunds@hotmail.com,military commander,1965-05-02,United Kingdom,Samsung Heavy Industries,23 4th Avenue,Brooklyn,11232,New York,NY,United States,1,7196823122,https://upload.wikimedia.org/wikipedia/commons/2/2c/Simeon_Edmunds_psychical_researcher.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Simeon_Edmunds_psychical_researcher.png/250px-Simeon_Edmunds_psychical_researcher.png,Simeon Edmunds (1917 – 1969) was a British psychical researcher and writer on hypnotism.,00025.png,00033.png,Europe,North America
<Nicholas_Statham>,m,Statham,Nicholas,Replace this image male.svg,statham@gmail.com,film producer,1961-10-12,England,AES Corporation,48 Northside High School Road,Roanoke,24019,Virginia,VA,United States,1,8366457283,https://upload.wikimedia.org/wikipedia/commons/7/7e/Replace_this_image_male.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Replace_this_image_male.svg/250px-Replace_this_image_male.svg.png,"Nicholas Statham (fl. 1467) was an English lawyer, known as a legal writer.",00009.svg,00034.png,Europe,North America
<Dan_Kolsrud>,m,Kolsrud,Dan,,d.kolsrud@hotmail.fr,character designer,1954-05-04,United States,Essel Group,83 W Luzerne St,Philadelphia,19140,Pennsylvania,PA,United States,1,8192496661,,,"Dan Kolsrud is an American film producer.
He is also Executive Vice President Worldwide Theatrical Physical Production for Metro-Goldwyn-Mayer since 2008.",,,North America,North America
<John_Poch>,m,Poch,John,John Poch.jpg,poch@yahoo.it,navigator,1998-07-16,United States,West Japan Railway Company,355 avenue Raymond-Poincaré,Paris,75001,Île-de-France,,France,33,967952862,https://upload.wikimedia.org/wikipedia/commons/9/90/John_Poch.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/John_Poch.jpg/250px-John_Poch.jpg,"John Poch (born 1966 in Erie, Pennsylvania) is an American poet, fiction writer, and critic.",00306.jpg,00308.jpg,North America,Europe
<Harry_Blain>,m,Blain,Harry,,h.blain@tiscali.co.uk,environmentalist,1985-08-27,United Kingdom,Grupo Famsa,118 East Goodnow Street,White City,66872,Kansas,KS,United States,1,5271644876,,,"Harry Christian Peter Blain  (born 12 September 1967) is a British art dealer and a co-founder of the BlainSouthern gallery.
In 2002 he started Haunch of Venison gallery with Graham Southern.
Together with Southern, Blain staged exhibitions at Haunch of Venison, including surveys of Abstract Expressionism and late twentieth century Russian art in New York and London respectively.
In 2007 Blain and Southern sold Haunch of Venison to Christie's International plc. However, they remained within the business and continued to run the gallery until they both departed to launch a new gallery, BlainSouthern, in 2010.In October 2010 Blain and Emmanuel Di Donna launched Blain DiDonna in the former premises of Ursus Books in the Carlyle Hotel on Madison Avenue, New York.",,,Europe,North America
<Fulvio_Valbusa>,m,Valbusa,Fulvio,Fulvio Valbusa.jpg,valbusa@gmail.com,editor,2005-09-26,Italy,Cisco Systems,65 rue Chardon-Lagache,Paris,75001,Île-de-France,,France,33,855814925,https://upload.wikimedia.org/wikipedia/commons/d/d5/Fulvio_Valbusa.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Fulvio_Valbusa.jpg/250px-Fulvio_Valbusa.jpg,"Fulvio Valbusa (born February 15, 1969 in Verona) is an Italian cross-country skier who competed from 1992 to 2006. He won two medals in the 4 × 10 km relay at the Winter Olympics with a gold in 2006 and a silver in 1998. He also finished 5th in three other cross-country events at the 1998 Winter Olympics in Nagano (10 km + 15 km combined pursuit, 30 km, and 50 km).
Valbusa also won five medals at the FIS Nordic World Ski Championships, including one silver (15 km: 2005) and four bronzes (10 km + 15 km combined pursuit: 1999, 4 × 10 km relay: 1995, 1997, 1999). He also won three FIS races at 15 km in 1996, 1997, and 2004.
He is the older brother of cross-country skier Sabina Valbusa.",00307.jpg,00309.jpg,Europe,Europe
<Risto_Isomäki>,m,Isomäki,Risto,Risto Isomäki.jpg,r-isomaki125@gmail.com,entrepreneur,1996-03-30,Finland,KPN,50 boulevard Léon-Bureau,Nantes,44000,Pays de la Loire,,France,33,446285887,https://upload.wikimedia.org/wikipedia/commons/3/32/Risto_Isom%C3%A4ki.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Risto_Isom%C3%A4ki.jpg/250px-Risto_Isom%C3%A4ki.jpg,"Risto Isomäki (born June 8, 1961 in Turku) is a Finnish author of science fiction books. His 2005 novel The Sands of Sarasvati (Sarasvatin hiekkaa) was nominated for the Finlandia Prize in 2005 and won the Tähtivaeltaja Award in 2006. Two of his novels, The Sands of Sarasvati (Into, 2013) and Lithium-6 (AmazonCrossing, 2015) have been published in English, along with a graphic novel adaptation of The Sands of Sarasvati (Tammi, 2008).",00308.jpg,00310.jpg,Europe,Europe
<John_Bell_(legal_scholar)>,m,Bell,John,John Bell Oxford Oct09.jpg,bell54@yahoo.com,naturalist,2011-02-12,United Kingdom,JLL,367 quai Kléber,Strasbourg,67000,Grand Est,,France,33,625791454,https://upload.wikimedia.org/wikipedia/commons/4/40/John_Bell_Oxford_Oct09.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/John_Bell_Oxford_Oct09.jpg/250px-John_Bell_Oxford_Oct09.jpg,"John Bell QC (hon.), FBA, FRSA, is professor of law in the Faculty of Law at the University of Cambridge and a Fellow of Pembroke College, Cambridge.Prior to appointment to his current position in 2001, he was professor of law at the University of Leeds (1989-2001) and fellow and tutor in law at Wadham College, Oxford (1979-1989).He is an honorary member of Hardwicke Chambers.  He was ordained as a permanent deacon within the Catholic Church in July 2012.",00309.jpg,00311.jpg,Europe,Europe
<Vince_Stanzione>,m,Stanzione,Vince,Vince Stanzione Financial Trader & Author.jpg,vince-stanzione11@yahoo.es,businessman,1971-03-02,United Kingdom,E4 Group,420 N Broad St,Philadelphia,19130,Pennsylvania,PA,United States,1,3751312964,https://upload.wikimedia.org/wikipedia/commons/4/49/Vince_Stanzione_Financial_Trader_%26_Author.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Vince_Stanzione_Financial_Trader_%26_Author.jpg/250px-Vince_Stanzione_Financial_Trader_%26_Author.jpg,"Vince Stanzione (born 1968/1969) is a British entrepreneur.
Stanzione first worked as a hairdresser in his family's business in Luton before becoming a currency trader in the 1980s. After losing his savings in the 1987 stock market crash, Stanzione started mail order sales of mobile phones. In 1999 The Observer reported that he was worth over £1 million.He returned to trading in financial markets and had a financially successful strong run in commodities, making over £2 million from spread betting with firms such as IG Index. In 2003 he was running courses teaching people how to spread bet.In 2004 he launched The Advert Channel which was the world's first television channel dedicated to television commercials. In 2005 the parent company floated on the UK Alternative Investment Market AIM as TV Commerce Holdings Plc (TVC). In 2006 regulators ruled that one of the channels owned by TVC had deliberately kept callers on premium-rate telephone numbers waiting longer than necessary. The company was fined by ICSTIS, the channel was forced to close, TVC's share price fell by over 50% as a result and TVC warned that it may no longer be viable. TV Commerce Holdings plc became a shell company known as Gemstones of Africa in 2009.In 2013 he published a book, The Millionaire Dropout which was listed in the New York Times list of bestselling books and USA Today bestselling books.",00310.jpg,00312.jpg,Europe,North America
<Jan_Vrba>,m,Vrba,Jan,"Two-man bobsleigh, 2014 Winter Olympics, Czech Republic run 3.JPG",vrba@yahoo.com,lecturer,2013-06-30,Czech Republic,ABB Group,51 avenue Raymond-Poincaré,Paris,75001,Île-de-France,,France,33,454449838,https://upload.wikimedia.org/wikipedia/commons/e/e9/Two-man_bobsleigh%2C_2014_Winter_Olympics%2C_Czech_Republic_run_3.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Two-man_bobsleigh%2C_2014_Winter_Olympics%2C_Czech_Republic_run_3.JPG/250px-Two-man_bobsleigh%2C_2014_Winter_Olympics%2C_Czech_Republic_run_3.JPG,"Jan Vrba (born January 28, 1982) is a Czech bobsledder who has competed since 2004. His best World Cup finish was 5th at Altenberg  in the four-man event (2005: St. Moritz, 2009: Altenberg).
Vrba was selected to compete at the 2010 Winter Olympics in the four-man event where he finished 16th.",00311.jpg,00313.jpg,Europe,Europe
<Peter_Abruzzo>,m,Abruzzo,Peter,Peter Abruzzo.png,abruzzo@gmail.com,biologist,1989-07-22,United States,Western Norway Regional Health Authority,361 rue Laennec,Lyon,69001,Auvergne-Rhône-Alpes,,France,33,777924391,https://upload.wikimedia.org/wikipedia/commons/b/b5/Peter_Abruzzo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Peter_Abruzzo.png/250px-Peter_Abruzzo.png,"Peter Abruzzo (born April 7, 1957) is an American entrepreneur and CEO of Xedo North America and PromGuy.com.",00026.png,00035.png,North America,Europe
<Louis_Castle>,m,Castle,Louis,Louis Castle at BAFTA2011 GameDevs.jpg,l.castle@yahoo.com.br,visual artist,1973-11-07,United States,Aden Services,233 South Desert Boulevard,Canutillo,79932,Texas,TX,United States,1,2683213933,https://upload.wikimedia.org/wikipedia/commons/2/2b/Louis_Castle_at_BAFTA2011_GameDevs.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2b/Louis_Castle_at_BAFTA2011_GameDevs.jpg,"Louis Castle is an American video games designer. He is known for co-founding Westwood Studios, designing the PC game Blade Runner, and collaborating with Steven Spielberg on the Boom Blox and Boom Blox Bash Party video games for the Nintendo Wii console based on Spielberg's design ideas.",00312.jpg,00314.jpg,North America,North America
<Robert_Heller>,m,Heller,Robert,Robert Heller magician.png,heller@gmail.com,visual artist,1990-08-31,England,Bunzl,230 Auditorium Circle,San Antonio,78205,Texas,TX,United States,1,2224581567,https://upload.wikimedia.org/wikipedia/commons/c/c9/Robert_Heller_magician.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Robert_Heller_magician.png/250px-Robert_Heller_magician.png,"Robert Heller, also Joseph Heller, (born William Henry Palmer; 1826–1878) was an English  magician, mentalist, and musician.  The year of his birth is the subject of some speculation; some sources list it as 1829 while others claim 1830.
As the son of a famous concert pianist, Heller began his life as a musician studying at the Royal Academy of Music.  After becoming fascinated with magic at age 14, Heller began copying his idol Jean Eugène Robert-Houdin, from whom he adopted his first name.  Heller left his scholarship at the academy to become a professional magician.
Heller's magic career began in New York City in 1858.  In an attempt to copy the style of Houdin, Heller wore a dark wig and spoke in a French accent when he performed.  His act was such a failure that he moved to Washington, D.C. to become a music teacher.
Heller married one of his pupils, the daughter of a wealthy Washington resident and would eventually return to New York.  Deciding to try his magic act again, Heller abandoned the accent and image of before and focused on the presentation of his illusions.  His tour that spanned from 1869 to 1875 became a success throughout much of the United States, Great Britain, Europe, and Asia.  Heller's success prompted fellow magician Harry Kellar to change his name as to avoid the impression that he was copying the greatness of Heller.
Heller retired from magic after his successful tour.  He spent the remaining years of his life performing piano in Washington, D.C.  In 1878, Heller died suddenly of pneumonia in Philadelphia, United States and was buried in Mount Moriah Cemetery in Yeadon, Pennsylvania.",00027.png,00036.png,Europe,North America
<Abdul_Qadim_Haqq>,m,Haqq,Abdul,Abdul Qadim Haqq 1 cropped.jpg,a.haqq169@sbcglobal.net,humanist,1962-01-30,United States,DynCorp,18 Highway 1 South Bypass,Natchitoches,71457,Louisiana,LA,United States,1,2169452397,https://upload.wikimedia.org/wikipedia/commons/6/63/Abdul_Qadim_Haqq_1_cropped.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Abdul_Qadim_Haqq_1_cropped.jpg/250px-Abdul_Qadim_Haqq_1_cropped.jpg,"Abdul Qadim Haqq (born December 24, 1968), also known as Haqq and The Ancient,  is an American visual artist who was born and raised in Detroit, Michigan. He is considered Detroit's number one ambassador of art for world-renowned techno music artists. Haqq's artwork is featured worldwide on classic records by Detroit Techno record labels, namely the records of Juan Atkins, Metroplex, Derrick May, Transmat, Underground Resistance, Kevin Saunderson, Carl Craig.  Abdul Qadim Haqq has been serving the techno music community through Techno Visual Art since 1989. His artwork continues to inspire fans all over the world.Haqq, founder of Third Earth Visual Arts, bases his futuristic concepts on time travel. His love for fantasy art was inspired by childhood pastimes such as watching sci-fi and Japanese animation. ""Japanese cartoons were all I watched when I was a kid, like Speed Racer, Battle of the Planets and Robotech,"" says Haqq. ""I watched them constantly; I never missed an episode."" As a youth growing up in Detroit, Haqq was often sick from asthma and had to stay in the house, which caused him to spend a considerable portion of his time watching science fiction and fantasy shows on TV. These in turn led him to create and illustrate his own stories. Haqq majored in graphic illustration at the College for Creative Studies, originally called the Center for Creative Studies, in Detroit. After graduating in 1991, he committed himself to working as a futurist artist, and remains dedicated to Detroit Techno Art today. """,00313.jpg,00315.jpg,North America,North America
<Anthony_Opal>,m,Opal,Anthony,Anthony_Opal_2.jpg,opal396@club-internet.fr,critic,1930-10-13,United States,Covance,136 rue Saint-Michel à La Rochelle,La Rochelle,17000,Nouvelle-Aquitaine,,France,33,617378948,https://upload.wikimedia.org/wikipedia/commons/6/64/Anthony_Opal_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Anthony_Opal_2.jpg/250px-Anthony_Opal_2.jpg,"Anthony Opal (born 1983) is an American poet and editor. The author of ACTION, and founding editor of The Economy, his work has appeared in various magazines and journals, including Poetry, Boston Review, Harvard Divinity Bulletin, and Notre Dame Review.An important contributor to the contemporary sonnet form, Opal's poems are process based with a Surrealistic bent toward subversiveness, specifically regarding categories of the holy and the profane. ""Opal's adroit and contemplative poems don’t only fuck with ideas of the holy, they seek them out,"" writes Douglas Kearney. Likewise, in an interview for The Conversant, Luke Fidler describes Opal's work as not only juxtaposing images and formal elements, but ""modes of experience, of remembering, of anticipating.""Opal holds a BA in English Literature from Elmhurst College and an MFA in Creative Writing (Poetry) from Northwestern University. He lives with his wife and daughter in Chicago.",00314.jpg,00316.jpg,North America,Europe
<Charles_L._Bartholomew>,m,Bartholomew,Charles,Charles Bartholomew.jpg,cbartholomew@yahoo.com,printer,1973-12-20,United States,Hochtief,189 S. Court Street,Montgomery,36104,Alabama,AL,United States,1,2878733129,https://upload.wikimedia.org/wikipedia/commons/0/09/Charles_Bartholomew.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Charles_Bartholomew.jpg/250px-Charles_Bartholomew.jpg,"Charles Lewis Bartholomew (1869–1949) was an American editorial cartoonist, more commonly known as 'Bart'. He is most well known for his daily cartoons published by the Minneapolis Journal.",00315.jpg,00317.jpg,North America,North America
<Pavel_Koshetz>,m,Koshetz,Pavel,Koshits Pavlo.jpg,koshetz20@yahoo.fr,pitchman,2009-10-16,Russia,Public Service Enterprise Group,230 W. Wabash,Enid,73701,Oklahoma,OK,United States,1,8837139254,https://upload.wikimedia.org/wikipedia/commons/6/63/Koshits_Pavlo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Koshits_Pavlo.jpg/250px-Koshits_Pavlo.jpg,"Pavlo Koshyts (Ukrainian: Павло Олексійович Кошиць; Russian: Павел Алексеевич Кошиц; real last name is Poray-Koshytsi (uk:Порай-Кошиці); December 14, 1863 in Kiev Oblast, Russian Empire – March 2, 1904 in Moscow) was a Russian opera singer (tenor).
He studied at the Kiev Theological Academy, then at the Moscow Conservatory (a teacher: Fyodor Petrovich Komissarzhevsky). At the end of 1886 Pavel Koshetz went to study in Milan (Italy). In 1886 - 1889 he sang in opera theatres in Italy, Greece, Catalonia and the Americas. Then he returned to Russia and worked in different cities.
In 1893 Pavel Koshetz was invited at the Bolshoi Theatre. He became a performer for more than 30 operatic roles.
Gradually, the singer began to lose his voice. Theater administration moved him to the teaching work, but in 1904 he was fired. It became for him a huge psychological blow. Pavel Koshetz committed suicide March 2, 1904.
His daughter Nina was at this time 12 years. She decided to become an opera singer.
After some time, in memory of Pavel Koshetz Leonid Sobinov organized two concerts, which involved famous singers partners of Pavel Koshetz.",00316.jpg,00318.jpg,Asia,North America
<Karl_Georg_von_Raumer>,m,Raumer,Karl,Erlangen Neustädter Friedhof 032.JPG,karl-raumer@bigpond.com,manga artist,1990-11-05,Germany,MAN Diesel,163 North Fifth Street,Ponca City,74601,Oklahoma,OK,United States,1,7616632563,https://upload.wikimedia.org/wikipedia/commons/9/92/Erlangen_Neust%C3%A4dter_Friedhof_032.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Erlangen_Neust%C3%A4dter_Friedhof_032.JPG/250px-Erlangen_Neust%C3%A4dter_Friedhof_032.JPG,Karl Georg von Raumer (9 April 1783 – 2 June 1865) was a German geologist and educator.,00317.jpg,00319.jpg,Europe,North America
<Detlef_Richter>,m,Richter,Detlef,"Bundesarchiv Bild 183-1982-1014-046, Detlef Richter, Dietmar Jerke.jpg",detlefrichter443@ntlworld.com,film score composer,2000-04-24,Germany,The Lego Group,180 West Gore Boulevard,Lawton,73505,Oklahoma,OK,United States,1,7367184342,https://upload.wikimedia.org/wikipedia/commons/6/60/Bundesarchiv_Bild_183-1982-1014-046%2C_Detlef_Richter%2C_Dietmar_Jerke.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Bundesarchiv_Bild_183-1982-1014-046%2C_Detlef_Richter%2C_Dietmar_Jerke.jpg/250px-Bundesarchiv_Bild_183-1982-1014-046%2C_Detlef_Richter%2C_Dietmar_Jerke.jpg,"Detlef Richter (born 6 June 1956 in Leipzig, Saxony) is an East German bobsledder who competed from the late 1970s to the late 1980s. He won a bronze medal in the four-man event at the 1980 Winter Olympics in Lake Placid.
Richter also won five medals at the FIBT World Championships with three silvers (Two-man: 1985, Four-man: 1979, 1985) and two bronzes (Two-man: 1986, Four-man: 1983).
His best Bobsleigh World Cup finish was second in 1988–89, both in the combined men's and two-man events.",00318.jpg,00320.jpg,Europe,North America
<Sumit_Baudh>,m,Baudh,Sumit,"Sumit Baudh at UC Berkeley, April 11, 2016.png",nuboda@gmail.com,historian,1947-09-10,India,YPF,295 S. Lindsay Rd.,Mesa,85204,Arizona,AZ,United States,1,2732176397,https://upload.wikimedia.org/wikipedia/commons/8/86/Sumit_Baudh_at_UC_Berkeley%2C_April_11%2C_2016.png,https://upload.wikimedia.org/wikipedia/commons/8/86/Sumit_Baudh_at_UC_Berkeley%2C_April_11%2C_2016.png,,00028.png,00037.png,Asia,North America
<Minhon_Khan_Chandio_(M.M._Chandio)>,m,Chandio,Minhon,,minhonchandio@zoho.com,economist,1970-10-22,Pakistan,Adtranz,3 Place Hans-Jean Arp,Strasbourg,67000,Grand Est,,France,33,868157494,,,,,,Asia,Europe
<Remi_Aubuchon>,m,Aubuchon,Remi,Remi Aubuchon 2013.jpg,fanusa@bluewin.ch,statistician,1952-10-06,United States,Qimonda,121 Walnut Street,Philadelphia,19139,Pennsylvania,PA,United States,1,8546487881,https://upload.wikimedia.org/wikipedia/commons/f/f7/Remi_Aubuchon_2013.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Remi_Aubuchon_2013.jpg/250px-Remi_Aubuchon_2013.jpg,Remi Aubuchon is an American television writer and producer. He is well known for his work on the Fox thriller 24 and the TNT alien-drama Falling Skies. He is the son of the late US actor Jacques Aubuchon.,00319.jpg,00321.jpg,North America,North America
<Brian_Medavoy>,m,Medavoy,Brian,,b-medavoy@msn.com,book publisher,1949-10-17,United States,RP-Sanjiv Goenka Group,54 rue Saint-Michel à La Rochelle,La Rochelle,17000,Nouvelle-Aquitaine,,France,33,432488363,,,"Brian Medavoy (born June 30, 1965) is an American talent manager, entrepreneur and television producer. He is the son of film producer and executive, Mike Medavoy.",,,North America,Europe
<Steph_Watts>,m,Watts,Steph,Steph.gif,stephwatts@gmail.com,farmer,1969-03-09,Canada,NTPC Limited,147 Hookiekie Street,Pearl City,96782,Hawaii,HI,United States,1,5763471257,https://upload.wikimedia.org/wikipedia/commons/1/14/Steph_Watts_2011.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Steph_Watts_2011.gif/250px-Steph_Watts_2011.gif,,00004.gif,00004.gif,North America,North America
<Yevgeny_Alexeyevich_Fyodorov>,m,Fyodorov,Yevgeny,Евгений Алексеевич Фёдоров.jpg,fyodorov@hetnet.nl,jurist,2009-02-27,Russia,Grupo Argos,228 Neely Road,Rock Hill,29730,South Carolina,SC,United States,1,4285481692,https://upload.wikimedia.org/wikipedia/commons/5/58/Fedorov_Eugeny_20_july_2017.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Fedorov_Eugeny_20_july_2017.jpg/250px-Fedorov_Eugeny_20_july_2017.jpg,"Yevgeny Alexeyevich Fedorov or Fyodorov (Russian: Евгений Алексеевич Фёдоров) (born May 11, 1963 in Leningrad) is a Russian politician, deputy of the State Duma of the Federal Assembly of Russia four convocations (1993–96, 2003), chairman of the Committee on Economic Policy and Entrepreneurship of the State Duma, member of the Central Political Council of United Russia party, PhD. State Councilor of the Russian Federation, coordinator of the organization ""National Liberation Movement"".",00320.jpg,00322.jpg,Asia,North America
<Debapriya_Bhattacharya>,m,Bhattacharya,Debapriya,Debapriya_Bhattacharya_-_Portrait.jpg,pisuti7027@yahoo.com,anthropologist,1938-02-23,Bangladesh,OCBC Bank,292 S. Redskin Drive,St. Johns,85936,Arizona,AZ,United States,1,9136833997,https://upload.wikimedia.org/wikipedia/commons/8/8e/Debapriya_Bhattacharya_-_Portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Debapriya_Bhattacharya_-_Portrait.jpg/250px-Debapriya_Bhattacharya_-_Portrait.jpg,Debapriya Bhattacharya is an economist and public policy analyst from Bangladesh. He was the first executive director of Centre for Policy Dialogue in Dhaka. He also worked as a senior research fellow at Bangladesh Institute of Development Studies (BIDS).,00321.jpg,00323.jpg,Asia,North America
<Kevin_Reagan>,m,Reagan,Kevin,,reagan05@hotmail.fr,film historian,2011-11-25,United States,Pertamina,166 South Meridian,Valley Center,67147,Kansas,KS,United States,1,5634587764,,,"Kevin Reagan is a three-time Grammy Award-winning graphic designer/art director, also honored by the AIGA, Print, and Communication Arts. He has created artwork for critically and commercially acclaimed albums by Madonna, The Foo Fighters, Beck, Dixie Chicks, Guns N' Roses, Meshell Ndegeocello, Alanis Morissette, Pat Metheny, Svoy, Sonic Youth, among numerous other notable artists. At various times, Reagan has been the art director for Maverick Records, MCA Records and Geffen Records. He is the author of Alex Steinweiss, The Inventor of the Modern Album Cover (2009, Taschen).",,,North America,North America
<Bader_Al_Rajhi>,m,Rajhi,Bader,جائزة رائد العمل التطوعي.JPG,rajhi@gmail.com,ballet dancer,1956-04-02,Saudi Arabia,The Rank Group,332 Orr and Day Road,Santa Fe Springs,90670,California,CA,United States,1,4793853291,https://upload.wikimedia.org/wikipedia/commons/0/0f/%D8%AC%D8%A7%D8%A6%D8%B2%D8%A9_%D8%B1%D8%A7%D8%A6%D8%AF_%D8%A7%D9%84%D8%B9%D9%85%D9%84_%D8%A7%D9%84%D8%AA%D8%B7%D9%88%D8%B9%D9%8A.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/%D8%AC%D8%A7%D8%A6%D8%B2%D8%A9_%D8%B1%D8%A7%D8%A6%D8%AF_%D8%A7%D9%84%D8%B9%D9%85%D9%84_%D8%A7%D9%84%D8%AA%D8%B7%D9%88%D8%B9%D9%8A.JPG/250px-%D8%AC%D8%A7%D8%A6%D8%B2%D8%A9_%D8%B1%D8%A7%D8%A6%D8%AF_%D8%A7%D9%84%D8%B9%D9%85%D9%84_%D8%A7%D9%84%D8%AA%D8%B7%D9%88%D8%B9%D9%8A.JPG,"Bader Bin Mohammed Bin Abdul Aziz Al Rajhi (Arabic: بدر محمد عبد العزيز الراجحي‎)  is a Saudi businessman. He is the chairman and founder of Rajhi Steel, one of the Middle East's largest companies.He serves as an Independent Director of Al Rajhi Banking and Investment Corporation and The Al Rajhi Bank. With more than twenty-five years of experience, Mr. Al Rajhi has held several leading positions in areas of administration, industry and real estate investment.He has served as a member of boards of directors of joint-stock companies, and has headed the boards of a number of private companies. Al Rajhi among 500 Most Powerful Muslims List in Islamica Magazine.",00322.jpg,00324.jpg,Asia,North America
<Vincuk_Viačorka>,m,Viačorka,Vincuk,Vincuk_Viacorka.jpg,nebi4772@gmail.com,chemist,1986-10-20,Belarus,RSM International,223 South Main Street,Lindsborg,67456,Kansas,KS,United States,1,8852188626,https://upload.wikimedia.org/wikipedia/commons/9/9f/Vincuk_Viacorka.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Vincuk_Viacorka.jpg/250px-Vincuk_Viacorka.jpg,"Valancin Ryhoravič ""Vincuk"" Viačorka (Belarusian: Валянцін Рыгоравіч „Вінцук“ Вячорка, [vʲinˈtsuk vʲaˈtʂorka], Russian: Валентин Григорьевич „Винцук“ Вечёрко, romanized: Valentin Grigorevich „Vintsuk“ Vechorko, born July 7, 1961) is a Belarusian linguist, politician and former leader (1999–2007) of the Belarusian National Front (BNF), a Belarusian opposition party.",00323.jpg,00325.jpg,Europe,North America
<Avinash_Wadhawan>,m,Wadhawan,Avinash,AvinashWadhawan.jpg,solo@gmail.com,printer,1991-04-24,India,Seoul Metro,47 rue Georges-Bizet,Paris,75001,Île-de-France,,France,33,986978691,https://upload.wikimedia.org/wikipedia/commons/e/ef/AvinashWadhawan.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/AvinashWadhawan.jpg/250px-AvinashWadhawan.jpg,"Avinash Wadhawan (born 2 November 1968) also known by the initialism AVI, is an Indian film and television actor. He has appeared in films like, Junoon and Geet. He played in Colors TV show Balika Vadhu as Anup.",00324.jpg,00326.jpg,Asia,Europe
<Braulio_Guerra>,m,Guerra,Braulio,,guerra@home.nl,musician,1992-07-28,United States,Syngenta,198 Rivercrest Boulevard,Allen,75002,Texas,TX,United States,1,2668652123,,,"Braulio Mario Guerra Urbiola (born March 28, 1972) is a Mexican politician. He serves as a member of the Chamber of Deputies, where he represents the state of Querétaro.In March 2017, Guerra climbed the fence between Tijuana and San Diego, California to protest US President Donald Trump's campaign promise of building a wall.On February 11, 2020, he gave a motivational speech at ""Instituto Queretano Marista"" High School (Querétaro) where he studied many years ago.",,,North America,North America
<Mark_Fish_(writer)>,m,Fish,Mark,Markfish-emma.jpg,m-fish1756@hotmail.com,short story writer,1986-09-27,United States,Sina Corp,86 Summit Street,Portland,04103-1619,Maine,ME,United States,1,9799878643,https://upload.wikimedia.org/wikipedia/commons/4/45/Markfish-emma.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Markfish-emma.jpg,Mark Fish is an American television producer and writer and actor.,00325.jpg,00327.jpg,North America,North America
